,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600104.SH,20211111,21.31,21.65,21.22,21.32,21.42,-0.10000000000000142,-0.4669,716440.51,1534272.206
1,600104.SH,20211110,22.0,22.15,21.18,21.42,22.16,-0.7399999999999984,-3.3394,870724.94,1871365.858
2,600104.SH,20211109,23.0,23.1,22.11,22.16,23.01,-0.8500000000000014,-3.694,933927.07,2100255.465
3,600104.SH,20211108,22.73,23.45,22.57,23.01,22.73,0.28000000000000114,1.2319,1715335.45,3943954.922
4,600104.SH,20211105,20.74,22.73,20.71,22.73,20.66,2.0700000000000003,10.0194,1701854.28,3816097.945
5,600104.SH,20211104,20.35,20.8,20.3,20.66,20.19,0.46999999999999886,2.3279,392998.25,809522.497
6,600104.SH,20211103,20.23,20.41,20.02,20.19,20.22,-0.029999999999997584,-0.1484,280002.75,565361.808
7,600104.SH,20211102,20.01,20.74,20.0,20.22,19.97,0.25,1.2519,575930.99,1171568.205
8,600104.SH,20211101,20.38,20.43,19.87,19.97,20.28,-0.3100000000000023,-1.5286,392469.91,787307.229
9,600104.SH,20211029,19.97,20.36,19.9,20.28,19.84,0.4400000000000013,2.2177,409306.71,825133.084
10,600104.SH,20211028,20.32,20.38,19.77,19.84,20.38,-0.5399999999999991,-2.6497,473378.36,944933.148
11,600104.SH,20211027,20.65,20.86,20.25,20.38,20.73,-0.3500000000000014,-1.6884,418064.07,854383.465
12,600104.SH,20211026,21.26,21.33,20.59,20.73,20.97,-0.23999999999999844,-1.1445,457001.59,954780.618
13,600104.SH,20211025,20.86,21.14,20.5,20.97,20.96,0.00999999999999801,0.0477,424464.32,886364.454
14,600104.SH,20211022,21.07,21.2,20.87,20.96,20.98,-0.019999999999999574,-0.0953,347549.78,730010.039
15,600104.SH,20211021,20.97,21.18,20.8,20.98,20.98,0.0,0.0,418052.37,876639.892
16,600104.SH,20211020,20.93,21.27,20.87,20.98,20.96,0.019999999999999574,0.0954,444409.9,935892.777
17,600104.SH,20211019,20.9,21.29,20.86,20.96,21.01,-0.05000000000000071,-0.238,462535.89,973135.007
18,600104.SH,20211018,20.72,21.19,20.57,21.01,20.82,0.19000000000000128,0.9126,537394.39,1129099.371
19,600104.SH,20211015,20.45,20.91,20.41,20.82,20.55,0.2699999999999996,1.3139,509878.26,1056252.574
20,600104.SH,20211014,20.3,20.58,20.13,20.55,20.25,0.3000000000000007,1.4815,514035.91,1049073.278
21,600104.SH,20211013,19.52,20.25,19.44,20.25,19.55,0.6999999999999993,3.5806,563747.22,1125166.676
22,600104.SH,20211012,19.75,19.94,19.42,19.55,19.76,-0.21000000000000085,-1.0628,285881.6,562877.991
23,600104.SH,20211011,19.5,19.9,19.42,19.76,19.55,0.21000000000000085,1.0742,277876.31,548302.461
24,600104.SH,20211008,19.2,19.61,19.2,19.55,19.08,0.4700000000000024,2.4633,299286.55,581280.878
25,600104.SH,20210930,19.2,19.37,19.03,19.08,19.2,-0.120000000000001,-0.625,260371.62,498332.957
26,600104.SH,20210929,19.4,19.41,19.03,19.2,19.53,-0.33000000000000185,-1.6897,361531.49,693032.904
27,600104.SH,20210928,19.7,19.74,19.46,19.53,19.73,-0.1999999999999993,-1.0137,240643.05,471209.044
28,600104.SH,20210927,19.76,19.94,19.4,19.73,19.68,0.05000000000000071,0.2541,358156.83,703753.454
29,600104.SH,20210924,20.02,20.1,19.65,19.68,20.02,-0.33999999999999986,-1.6983,308643.16,613744.502
30,600104.SH,20210923,19.95,20.27,19.94,20.02,19.95,0.07000000000000028,0.3509,301957.52,605701.23
31,600104.SH,20210922,19.88,20.05,19.7,19.95,20.11,-0.16000000000000014,-0.7956,259152.05,514731.219
32,600104.SH,20210917,20.1,20.22,19.92,20.11,20.01,0.09999999999999787,0.4998,282650.73,566673.285
33,600104.SH,20210916,20.24,20.37,20.01,20.01,20.21,-0.1999999999999993,-0.9896,389574.2,785058.663
34,600104.SH,20210915,20.38,20.48,20.13,20.21,20.43,-0.21999999999999886,-1.0768,357099.25,723303.239
35,600104.SH,20210914,20.78,21.09,20.36,20.43,20.67,-0.240000000000002,-1.1611,537543.04,1112486.674
36,600104.SH,20210913,20.85,20.94,20.4,20.67,21.0,-0.3299999999999983,-1.5714,577024.63,1190561.839
37,600104.SH,20210910,21.6,21.8,20.97,21.0,20.96,0.03999999999999915,0.1908,743484.96,1582415.269
38,600104.SH,20210909,20.94,21.47,20.65,20.96,20.85,0.10999999999999943,0.5276,580230.34,1218013.394
39,600104.SH,20210908,20.72,21.1,20.65,20.85,20.94,-0.08999999999999986,-0.4298,596338.76,1242453.236
40,600104.SH,20210907,20.45,21.4,20.35,20.94,19.95,0.990000000000002,4.9624,1154096.6,2413848.23
41,600104.SH,20210906,19.5,20.15,19.5,19.95,19.44,0.509999999999998,2.6235,661391.21,1315958.098
42,600104.SH,20210903,19.75,19.94,19.41,19.44,19.87,-0.4299999999999997,-2.1641,507609.3,996333.148
43,600104.SH,20210902,19.66,19.94,19.46,19.87,19.66,0.21000000000000085,1.0682,542577.25,1068359.046
44,600104.SH,20210901,19.18,19.75,19.18,19.66,19.32,0.33999999999999986,1.7598,659525.81,1287928.273
45,600104.SH,20210831,19.3,19.58,19.03,19.32,19.38,-0.05999999999999872,-0.3096,478496.36,919628.0
46,600104.SH,20210830,19.0,19.58,18.66,19.38,18.89,0.48999999999999844,2.594,788226.18,1508905.847
47,600104.SH,20210827,18.66,19.17,18.65,18.89,18.37,0.5199999999999996,2.8307,732832.27,1388636.895
48,600104.SH,20210826,18.56,18.57,18.36,18.37,18.56,-0.18999999999999773,-1.0237,262573.37,483439.691
49,600104.SH,20210825,18.66,18.66,18.41,18.56,18.59,-0.030000000000001137,-0.1614,246118.4,456206.218
50,600104.SH,20210824,18.49,18.72,18.46,18.59,18.41,0.17999999999999972,0.9777,303210.7,563901.038
51,600104.SH,20210823,18.38,18.54,18.28,18.41,18.38,0.030000000000001137,0.1632,269238.45,495620.722
52,600104.SH,20210820,18.64,18.64,18.18,18.38,18.75,-0.370000000000001,-1.9733,526731.3,965341.779
53,600104.SH,20210819,18.68,19.0,18.63,18.75,18.82,-0.07000000000000028,-0.3719,444791.12,836865.914
54,600104.SH,20210818,18.65,18.86,18.53,18.82,18.71,0.10999999999999943,0.5879,289193.47,540364.998
