index_sp,index_sp_ta,mse,mae,r2,epochs,epoch_best,epoch_best_loss,id_stock,dev_per_mean,dev_per_std,per_pp,per_nn,per_corr
1,1,0,0,0,100000,2488,0.0001,600507.sh,0,0,0.2113,0.8516,0.6231
1,1,0,0,0,100000,1371,0.091,600507.sh,0,0,0.3642,0.7403,0.6399
1,2,0,0,0,100000,1947,0.1266,600507.sh,0,0,0.387,0.7293,0.638
1,3,0,0,0,100000,1619,0.1539,600507.sh,0,0,0.3906,0.7363,0.6441
1,4,0,0,0,100000,570,1.0648,600507.sh,0,0,0.0553,0.9768,0.731
1,5,0,0,0,100000,799,0.7645,600507.sh,0,0,0.2139,0.8828,0.7044
1,6,0,0,0,100000,1363,0.042,600507.sh,0,0,0.3558,0.7556,0.6489
1,7,0,0,0,100000,1870,0.0334,600507.sh,0,0,0.3678,0.7543,0.6512
1,8,0,0,0,100000,1379,0.0318,600507.sh,0,0,0.3486,0.735,0.6319
2,1,0,0,0,100000,1392,0.0084,600507.sh,0,0,0.3341,0.7355,0.6284
2,2,0,0,0,100000,745,0.0754,600507.sh,0,0,0.3101,0.7411,0.6262
2,3,0,0,0,100000,1438,0.0436,600507.sh,0,0,0.3293,0.753,0.6399
2,4,0,0,0,100000,404,1.0651,600507.sh,0,0,0.0877,0.9633,0.7297
2,5,0,0,0,100000,842,0.7394,600507.sh,0,0,0.2007,0.8732,0.6938
2,6,0,0,0,100000,1555,0.0016,600507.sh,0,0,0.3401,0.7486,0.6396
2,7,0,0,0,100000,1212,0.0018,600507.sh,0,0,0.3365,0.756,0.6441
2,8,0,0,0,100000,1245,0.0027,600507.sh,0,0,0.3438,0.7569,0.6467
3,1,0,0,0,100000,841,0.003,600507.sh,0,0,0.3498,0.749,0.6425
3,2,0,0,0,100000,795,0.0408,600507.sh,0,0,0.3293,0.7495,0.6374
3,3,0,0,0,100000,934,0.0564,600507.sh,0,0,0.3413,0.7372,0.6316
3,4,0,0,0,100000,1398,0.89,600507.sh,0,0,0.238,0.8863,0.7134
3,5,0,0,0,100000,865,0.7424,600507.sh,0,0,0.1947,0.8929,0.7066
3,6,0,0,0,100000,584,0.0027,600507.sh,0,0,0.3582,0.7613,0.6537
3,7,0,0,0,100000,642,0.0007,600507.sh,0,0,0.345,0.7337,0.63
3,8,0,0,0,100000,474,0.0004,600507.sh,0,0,0.3221,0.7355,0.6252
4,1,0,0,0,100000,811,0.0009,600507.sh,0,0,0.3678,0.7397,0.6405
4,2,0,0,0,100000,968,0.0464,600507.sh,0,0,0.3942,0.7353,0.6443
4,3,0,0,0,100000,928,0.0313,600507.sh,0,0,0.3786,0.7493,0.6504
4,4,0,0,0,100000,1445,0.973,600507.sh,0,0,0.2608,0.8736,0.7101
4,5,0,0,0,100000,1216,0.7748,600507.sh,0,0,0.2248,0.867,0.6956
4,6,0,0,0,100000,709,0.0004,600507.sh,0,0,0.345,0.7402,0.6347
4,7,0,0,0,100000,698,0.0,600507.sh,0,0,0.3594,0.7485,0.6446
4,8,0,0,0,100000,541,0.0004,600507.sh,0,0,0.357,0.7454,0.6418
5,1,0,0,0,100000,714,0.0023,600507.sh,0,0,0.3654,0.7528,0.6495
5,2,0,0,0,100000,817,0.0661,600507.sh,0,0,0.3546,0.7323,0.6315
5,3,0,0,0,100000,1200,0.0391,600507.sh,0,0,0.3113,0.7712,0.6485
5,4,0,0,0,100000,1518,1.0014,600507.sh,0,0,0.1178,0.9436,0.7232
5,5,0,0,0,100000,876,0.7512,600507.sh,0,0,0.2127,0.878,0.7004
5,6,0,0,0,100000,453,0.0006,600507.sh,0,0,0.3486,0.7437,0.6382
5,7,0,0,0,100000,441,0.0022,600507.sh,0,0,0.3606,0.7476,0.6443
5,8,0,0,0,100000,576,0.001,600507.sh,0,0,0.345,0.7266,0.6248
6,1,0,0,0,100000,463,0.0013,600507.sh,0,0,0.3486,0.741,0.6363
6,2,0,0,0,100000,1127,0.0873,600507.sh,0,0,0.4026,0.7472,0.6552
6,3,0,0,0,100000,1186,0.0518,600507.sh,0,0,0.351,0.7778,0.6639
6,4,0,0,0,100000,1137,0.9871,600507.sh,0,0,0.1983,0.9134,0.7226
6,5,0,0,0,100000,1724,0.6856,600507.sh,0,0,0.2151,0.8661,0.6924
6,6,0,0,0,100000,535,0.0332,600507.sh,0,0,0.375,0.7402,0.6427
6,7,0,0,0,100000,479,0.0016,600507.sh,0,0,0.3546,0.748,0.643
6,8,0,0,0,100000,331,0.0048,600507.sh,0,0,0.3822,0.7279,0.6357
7,1,0,0,0,100000,537,0.0015,600507.sh,0,0,0.351,0.734,0.6318
7,2,0,0,0,100000,914,0.0858,600507.sh,0,0,0.3486,0.7423,0.6373
7,3,0,0,0,100000,999,0.0784,600507.sh,0,0,0.3594,0.7467,0.6434
